id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10935437,Big apartment in Vienna,56696305,Maxime,,Margareten,48.19068836929196,16.35531042540326,Entire home/apt,72,2,5,2016-08-07,0.28,1,199
9424724,2Zimmer Studentenwohnung,12945842,Nina,,Margareten,48.18737632857777,16.35048472095114,Entire home/apt,40,6,3,2016-07-25,0.14,2,0
16436471,DMG Apartments Hotel Single Room 502,107743301,DMG Apartments,,Margareten,48.18345441168009,16.35764965483313,Entire home/apt,50,1,1,2017-09-03,1,14,145
8490815,Room available 15 Min from Centre,19621816,Odette,,Margareten,48.185018169513924,16.348419552422904,Private room,16,10,0,,,1,0
608686,City centre Pilgram,806216,Megan,,Margareten,48.187646309957145,16.36077656243838,Entire home/apt,59,3,12,2017-07-13,0.26,7,305
14634400,"Neu renovierte, moderne, helle, ruhige Wohnung",24704076,Wolfgang,,Margareten,48.18322466393532,16.3520380243414,Entire home/apt,45,3,35,2017-09-03,2.82,1,59
4984196,Modern meets Classic,5307364,Marlies & Dominik,,Margareten,48.18924839453906,16.36102435286093,Entire home/apt,80,2,93,2017-09-10,2.87,2,252
6360409,Flat with amazing garden,33135526,Xaver,,Margareten,48.19044458100026,16.359359895397,Private room,81,1,0,,,1,0
14798129,Lovely small flat Vienna Center 3,43187951,Philip,,Margareten,48.18321390831399,16.358983710521443,Entire home/apt,33,2,24,2017-08-27,2.79,5,126
16387341,Super location- spacious & bright flat,2313454,Sarah,,Margareten,48.18908826672736,16.358289594334327,Entire home/apt,60,3,2,2017-05-08,0.22,1,87
8785122,small;  near to the city center,46047201,Centina,,Margareten,48.19304501992698,16.359409674694408,Entire home/apt,45,1,0,,,1,0
19172566,Naschmarkt air: spacious 3-bedroom-apartment,809077,Martha,,Margareten,48.195572099502336,16.36012105729536,Entire home/apt,30,1,11,2017-09-11,3.55,15,147
15355089,Cozy apartment,88141554,Ali,,Margareten,48.18730133564243,16.348913603972736,Entire home/apt,60,1,15,2017-06-20,1.31,1,19
17566118,Studio wohnung mit traumhaften Ausblick,10427186,Tatiana,,Margareten,48.190868585698134,16.356031169020618,Entire home/apt,35,2,8,2017-08-13,1.45,1,0
19942343,Retro Vienna,141323946,Adam & Stephanie,,Margareten,48.18556893106441,16.350912061755203,Entire home/apt,70,1,6,2017-08-23,3.40,1,354
18343633,Cosy apartment room with terrace,84681632,Katharina,,Margareten,48.1864155437663,16.349279370963202,Private room,29,1,25,2017-08-26,5.43,1,319
20007840,Lovely spacious 150m2 apartment in 5th district,18044762,Karoline,,Margareten,48.185160003270056,16.35891012226039,Private room,60,3,3,2017-08-06,1.67,2,187
14864141,5. Bezirk - Großes Zimmer in schöner Altbauwohnung,93107105,André,,Margareten,48.183975649503516,16.353282282011733,Private room,21,1,6,2017-08-09,3.10,1,2
3517738,Charmante Gründerzeitwohnung,17712204,Angela,,Margareten,48.190313344650725,16.352710950869064,Entire home/apt,85,7,6,2017-09-10,0.18,2,268
4591266,Highlight im Herzen Wiens,22832372,Edith,,Margareten,48.18674190696363,16.35447883444078,Entire home/apt,59,2,24,2017-01-09,0.73,1,248
3526297,Big Family  Deluxe Queens Apartment,5903756,Dr. Regina,,Margareten,48.18706637874174,16.347205355009642,Entire home/apt,130,3,26,2017-08-03,0.68,10,353
19821043,Room in 2 people shared flat close to Karlsplatz,18194921,Felix & Sophie,,Margareten,48.193698716007205,16.358553172546767,Private room,100,6,0,,,3,0
19540836,"Sonnige, zentrale Wohnung",23845866,Valentin,,Margareten,48.18188203024449,16.357486617424648,Private room,29,3,3,2017-08-25,2.65,2,0
13845078,2 Rooms  in a 120m2 flat (shared)-not only IKEA ;-,14190268,Anne,,Margareten,48.18263996017493,16.354853722724606,Entire home/apt,82,2,0,,,3,43
314183,Charming Vienna Apartment     ,791089,Conrad,,Margareten,48.18317995199103,16.36303189861425,Entire home/apt,90,3,1,2012-05-01,0.02,1,365
17828662,"3 rooms 2 bath´s/WC´s, discover Vienna on foot!",518644,Michael,,Margareten,48.1940437767439,16.35862155102969,Entire home/apt,69,1,3,2017-06-04,0.59,33,359
13971412,Newly renovated cozy flat in Vienna's city centre,23441685,Kriszta,,Margareten,48.1855744391078,16.35183988185292,Entire home/apt,39,2,70,2017-08-31,5.17,1,107
1067770,Top floor Family / Group Apt. 2236,5857639,Axl,,Margareten,48.1863324143931,16.34708194987466,Entire home/apt,49,4,6,2017-01-03,0.18,14,120
15932774,Cosy Studio light right at the center near opera,518644,Michael,,Margareten,48.19551051541741,16.359240467053034,Entire home/apt,55,1,21,2017-09-10,2.10,33,95
